alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,10,Haveri,ANANDSWAMY GADDADEVARMATH,Indian National Congress,Karnataka,,0.07 Cr,662025,1,47.43
INDIA,32,Raigad,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.04 Cr,425568,1,42
INDIA,7,Bhadrak,ANANTA PRASAD SETHI,Indian National Congress,Odisha,,0.02 Cr,221874,1,17.1
INDIA,26,Valsad,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,Gujarat,,0.06 Cr,553522,1,40.66
INDIA,8,Jajpur,ANCHAL DAS,Indian National Congress,Odisha,,0.01 Cr,53145,1,4.58
INDIA,1,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,Manipur,,0.04 Cr,374017,1,46.93
INDIA,6,JAIPUR RURAL,ANIL CHOPRA,Indian National Congress,Rajasthan,,0.06 Cr,616262,1,48.83
INDIA,29,BETUL,ANIL UIKEY,Bharat Adivasi Party,Madhya Pradesh,,0.00 Cr,10576,1,0.76
INDIA,30,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.04 Cr,395138,1,49.73
INDIA,14,Hazaribagh,ANIRUDDH KUMAR,Communist Party of India,Jharkhand,,0.00 Cr,10468,1,0.83
INDIA,21,CHITTORGARH,ANJANA UDAILAL,Indian National Congress,Rajasthan,,0.05 Cr,498325,1,33.25
INDIA,5,Mayurbhanj,ANJANI SOREN,Jharkhand Mukti Morcha,Odisha,,0.01 Cr,135399,1,11.53
INDIA,20,Hindupur,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,Andhra Pradesh,,0.00 Cr,2051,1,0.14
INDIA,11,TIRUVANNAMALAI,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,Tamil Nadu,,0.05 Cr,547379,1,47.75
INDIA,4,Wayanad,ANNIE RAJA,Communist Party of India,Kerala,,0.03 Cr,283023,1,26.09
INDIA,33,Unnao,ANNU TANDON,Samajwadi Party,Uttar Pradesh,,0.06 Cr,580315,1,44.56
INDIA,30,Patna Sahib,ANSHUL AVIJIT,Indian National Congress,Bihar,,0.04 Cr,434424,1,40.39
INDIA,17,Pathanamthitta,ANTO ANTONY,Indian National Congress,Kerala,,0.04 Cr,367623,1,39.98
INDIA,7,Dhanbad,ANUPAMA SINGH,Indian National Congress,Jharkhand,,0.05 Cr,457589,1,32.04
INDIA,40,Jamui,ARCHANA KUMARI,Rashtriya Janata Dal,Bihar,,0.04 Cr,396564,1,40.5
INDIA,4,Chatra,ARJUN KUMAR,Communist Party of India,Jharkhand,,0.00 Cr,14122,1,1.3
INDIA,5,Sitamarhi,ARJUN RAY,Rashtriya Janata Dal,Bihar,,0.05 Cr,464363,1,42.45
INDIA,25,PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,Tamil Nadu,,0.06 Cr,603209,1,53.42
INDIA,36,Bankura,ARUP CHAKRABORTY,All India Trinamool Congress,West Bengal,,0.06 Cr,641813,1,44.33
