state_id,region_id,constituency_id,state_name,region_name,constituency_no,constituency_name,election_phase,polling_date,winner_candidate,winner_party,alliance_name,runner_up_candidate,runner_up_party,evm_votes,postal_votes,winner_votes,constituency_total_votes,vote_share,margin_votes,result_status,winner_age,winner_gender
2,5,19,Andhra Pradesh,Southern Region,18,Kurnoolu,4,2024-05-13,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,NDA,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,650335,8579,658914,1330780.0,49.51,111298,Result Declared,45.0,male
2,5,20,Andhra Pradesh,Southern Region,19,Ananthapur,4,2024-05-13,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,NDA,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,755862,12383,768245,1440428.0,53.33,188555,Result Declared,60.0,male
2,5,21,Andhra Pradesh,Southern Region,20,Hindupur,4,2024-05-13,B K PARTHASARATHI,Telugu Desam,NDA,J SHANTHA,Yuvajana Sramika Rythu Congress Party,713013,12521,725534,1416339.0,51.23,132427,Result Declared,64.0,male
2,5,22,Andhra Pradesh,Southern Region,21,Kadapa,4,2024-05-13,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,Others,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,598406,6737,605143,1321975.0,45.78,62695,Result Declared,39.0,male
2,5,23,Andhra Pradesh,Southern Region,22,Nellore,4,2024-05-13,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,NDA,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,750771,15431,766202,1375649.0,55.7,245902,Result Declared,68.0,male
2,5,24,Andhra Pradesh,Southern Region,23,Thirupathi(SC),4,2024-05-13,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,Others,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,626702,5526,632228,1382570.0,45.73,14569,Result Declared,38.0,male
2,5,25,Andhra Pradesh,Southern Region,24,Rajampet,4,2024-05-13,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,Others,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,639111,5733,644844,1332939.0,48.38,76071,Result Declared,48.0,male
2,5,26,Andhra Pradesh,Southern Region,25,Chittoor(SC),4,2024-05-13,DAGGUMALLA PRASADA RAO,Telugu Desam,NDA,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,765536,12535,778071,1418857.0,54.84,220479,Result Declared,62.0,male
3,6,27,Arunachal Pradesh,North Eastern Region,1,Arunachal West,1,2024-04-19,KIREN RIJIJU,Bharatiya Janata Party,NDA,NABAM TUKI,Indian National Congress,196415,9002,205417,399804.0,51.38,100738,Result Declared,53.0,male
3,6,28,Arunachal Pradesh,North Eastern Region,2,Arunachal East,1,2024-04-19,TAPIR GAO,Bharatiya Janata Party,NDA,BOSIRAM SIRAM,Indian National Congress,140715,4866,145581,323443.0,45.01,30421,Result Declared,59.0,male
4,6,29,Assam,North Eastern Region,1,Kokrajhar,3,2024-05-07,JOYANTA BASUMATARY,"United People’s Party, Liberal",NDA,KAMPA BORGOYARI,Bodoland Peoples Front,484681,4314,488995,1241496.0,39.39,51583,Result Declared,48.0,male
4,6,30,Assam,North Eastern Region,2,Dhubri,3,2024-05-07,RAKIBUL HUSSAIN,Indian National Congress,INDIA,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1468549,3336,1471885,2453608.0,59.99,1012476,Result Declared,59.0,male
4,6,31,Assam,North Eastern Region,3,Barpeta,3,2024-05-07,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,NDA,DEEP BAYAN,Indian National Congress,853642,6471,860113,1685943.0,51.02,222351,Result Declared,72.0,male
4,6,32,Assam,North Eastern Region,4,Darrang-Udalguri,2,2024-04-26,DILIP SAIKIA,Bharatiya Janata Party,NDA,MADHAB RAJBANGSHI,Indian National Congress,864583,3804,868387,1811200.0,47.95,329012,Result Declared,50.0,male
4,6,33,Assam,North Eastern Region,5,Guwahati,3,2024-05-07,BIJULI KALITA MEDHI,Bharatiya Janata Party,NDA,MIRA BORTHAKUR GOSWAMI,Indian National Congress,891901,2986,894887,1599389.0,55.95,251090,Result Declared,45.0,female
4,6,34,Assam,North Eastern Region,6,Diphu,2,2024-04-26,AMARSING TISSO,Bharatiya Janata Party,NDA,J. I. KATHAR,Independent,332440,2180,334620,682827.0,49.01,147603,Result Declared,56.0,male
4,6,35,Assam,North Eastern Region,7,Karimganj,2,2024-04-26,KRIPANATH MALLAH,Bharatiya Janata Party,NDA,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,541220,3873,545093,1146882.0,47.53,18360,Result Declared,50.0,male
4,6,36,Assam,North Eastern Region,8,Silchar,2,2024-04-26,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,NDA,SURYA KANTA SARKAR,Indian National Congress,647572,4833,652405,1089426.0,59.89,264311,Result Declared,66.0,male
4,6,37,Assam,North Eastern Region,9,Nagaon,2,2024-04-26,PRADYUT BORDOLOI,Indian National Congress,INDIA,SURESH BORAH,Bharatiya Janata Party,786620,2230,788850,1549998.0,50.89,212231,Result Declared,64.0,male
4,6,38,Assam,North Eastern Region,10,Kaziranga,1,2024-04-19,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,NDA,ROSELINA TIRKEY,Indian National Congress,892766,4277,897043,1629937.0,55.04,248947,Result Declared,48.0,male
4,6,39,Assam,North Eastern Region,11,Sonitpur,1,2024-04-19,RANJIT DUTTA,Bharatiya Janata Party,NDA,PREMLAL GANJU,Indian National Congress,771018,4770,775788,1288468.0,60.21,361408,Result Declared,67.0,male
4,6,40,Assam,North Eastern Region,12,Lakhimpur,1,2024-04-19,PRADAN BARUAH,Bharatiya Janata Party,NDA,UDAY SHANKAR HAZARIKA,Indian National Congress,659307,3815,663122,1211214.0,54.75,201257,Result Declared,58.0,male
4,6,41,Assam,North Eastern Region,13,Dibrugarh,1,2024-04-19,SARBANANDA SONOWAL,Bharatiya Janata Party,NDA,LURINJYOTI GOGOI,Assam Jatiya Parishad,691153,2609,693762,1278322.0,54.27,279321,Result Declared,62.0,male
4,6,42,Assam,North Eastern Region,14,Jorhat,1,2024-04-19,GAURAV GOGOI,Indian National Congress,INDIA,TOPON KUMAR GOGOI,Bharatiya Janata Party,743194,8577,751771,1391160.0,54.04,144393,Result Declared,41.0,male
5,3,43,Bihar,Eastern Region,1,Valmiki Nagar,6,2024-05-25,SUNIL KUMAR,Janata Dal  (United),NDA,DEEPAK YADAV,Rashtriya Janata Dal,522495,927,523422,1101830.0,47.5,98675,Result Declared,39.0,male
5,3,44,Bihar,Eastern Region,2,Paschim Champaran,6,2024-05-25,DR.SANJAY JAISWAL,Bharatiya Janata Party,NDA,MADAN MOHAN TIWARI,Indian National Congress,578959,1462,580421,1086256.0,53.43,136568,Result Declared,58.0,male
5,3,45,Bihar,Eastern Region,3,Purvi Champaran,6,2024-05-25,RADHA MOHAN SINGH,Bharatiya Janata Party,NDA,DR RAJESH KUMAR,Vikassheel Insaan Party,540598,1595,542193,1073688.0,50.5,88287,Result Declared,74.0,male
5,3,46,Bihar,Eastern Region,4,Sheohar,6,2024-05-25,LOVELY ANAND,Janata Dal  (United),NDA,RITU JAISWAL,Rashtriya Janata Dal,475709,903,476612,1055602.0,45.15,29143,Result Declared,57.0,female
5,3,47,Bihar,Eastern Region,5,Sitamarhi,5,2024-05-20,DEVESH CHANDRA THAKUR,Janata Dal  (United),NDA,ARJUN RAY,Rashtriya Janata Dal,514940,779,515719,1093992.0,47.14,51356,Result Declared,71.0,male
5,3,48,Bihar,Eastern Region,6,Madhubani,5,2024-05-20,ASHOK KUMAR YADAV,Bharatiya Janata Party,NDA,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,552705,723,553428,1027728.0,53.85,151945,Result Declared,54.0,male
5,3,49,Bihar,Eastern Region,7,Jhanjharpur,3,2024-05-07,RAMPRIT MANDAL,Janata Dal  (United),NDA,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,532138,894,533032,1093741.0,48.73,184169,Result Declared,68.0,male
5,3,50,Bihar,Eastern Region,8,Supaul,3,2024-05-07,DILESHWAR KAMAIT,Janata Dal  (United),NDA,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,592922,2116,595038,1231114.0,48.33,169803,Result Declared,78.0,male
5,3,51,Bihar,Eastern Region,9,Araria,3,2024-05-07,PRADEEP KUMAR SINGH,Bharatiya Janata Party,NDA,SHAHNAWAZ,Rashtriya Janata Dal,599118,1028,600146,1252560.0,47.91,20094,Result Declared,58.0,male
5,3,52,Bihar,Eastern Region,10,Kishanganj,2,2024-04-26,MOHAMMAD JAWED,Indian National Congress,INDIA,MUJAHID ALAM,Janata Dal  (United),402470,380,402850,1151099.0,35.0,59692,Result Declared,60.0,male
5,3,53,Bihar,Eastern Region,11,Katihar,2,2024-04-26,TARIQ ANWAR,Indian National Congress,INDIA,DULAL CHANDRA GOSWAMI,Janata Dal  (United),565025,2067,567092,1171546.0,48.41,49863,Result Declared,73.0,male
5,3,54,Bihar,Eastern Region,12,Purnia,2,2024-04-26,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,Others,SANTOSH KUMAR,Janata Dal  (United),566867,689,567556,1195844.0,47.46,23847,Result Declared,56.0,male
5,3,55,Bihar,Eastern Region,13,Madhepura,3,2024-05-07,DINESH CHANDRA YADAV,Janata Dal  (United),NDA,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,639758,891,640649,1209695.0,52.96,174534,Result Declared,72.0,male
5,3,56,Bihar,Eastern Region,14,Darbhanga,4,2024-05-13,GOPAL JEE THAKUR,Bharatiya Janata Party,NDA,LALIT KUMAR YADAV,Rashtriya Janata Dal,565706,924,566630,1024184.0,55.33,178156,Result Declared,54.0,male
5,3,57,Bihar,Eastern Region,15,Muzaffarpur,5,2024-05-20,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,NDA,AJAY NISHAD,Indian National Congress,618569,1180,619749,1112460.0,55.71,234927,Result Declared,46.0,male
5,3,58,Bihar,Eastern Region,16,Vaishali,6,2024-05-25,VEENA DEVI,Lok Janshakti Party(Ram Vilas),NDA,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,566225,818,567043,1172060.0,48.38,89634,Result Declared,53.0,female
5,3,59,Bihar,Eastern Region,17,Gopalganj,6,2024-05-25,DR. ALOK KUMAR SUMAN,Janata Dal  (United),NDA,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,510329,1537,511866,1063027.0,48.15,127180,Result Declared,67.0,male
5,3,60,Bihar,Eastern Region,18,Siwan,6,2024-05-25,VIJAYLAKSHMI DEVI,Janata Dal  (United),NDA,HENA SHAHAB,Independent,385625,883,386508,998018.0,38.73,92857,Result Declared,61.0,female
5,3,61,Bihar,Eastern Region,19,Maharajganj,6,2024-05-25,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,NDA,AAKASH KUMAR SINGH,Indian National Congress,527974,1559,529533,1014109.0,52.22,102651,Result Declared,65.0,male
5,3,62,Bihar,Eastern Region,20,Saran,5,2024-05-20,RAJIV PRATAP RUDY,Bharatiya Janata Party,NDA,ROHINI ACHARYA,Rashtriya Janata Dal,470234,1518,471752,1021508.0,46.18,13661,Result Declared,62.0,male
5,3,63,Bihar,Eastern Region,21,Hajipur,5,2024-05-20,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),NDA,SHIV CHANDRA RAM,Rashtriya Janata Dal,613106,2612,615718,1155324.0,53.29,170105,Result Declared,42.0,male
5,3,64,Bihar,Eastern Region,22,Ujiarpur,4,2024-05-13,NITYANAND RAI,Bharatiya Janata Party,NDA,ALOK KUMAR MEHTA,Rashtriya Janata Dal,515159,806,515965,1042068.0,49.51,60102,Result Declared,58.0,male
5,3,65,Bihar,Eastern Region,23,Samastipur,4,2024-05-13,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),NDA,SUNNY HAZARI,Indian National Congress,579095,691,579786,1094592.0,52.97,187251,Result Declared,25.0,female
5,3,66,Bihar,Eastern Region,24,Begusarai,4,2024-05-13,GIRIRAJ SINGH,Bharatiya Janata Party,NDA,ABDHESH KUMAR ROY,Communist Party of India,646912,2419,649331,1294673.0,50.15,81480,Result Declared,71.0,male
5,3,67,Bihar,Eastern Region,25,Khagaria,3,2024-05-07,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),NDA,SANJAY KUMAR,Communist Party of India  (Marxist),537331,1326,538657,1061894.0,50.73,161131,Result Declared,31.0,male
5,3,68,Bihar,Eastern Region,26,Bhagalpur,2,2024-04-26,AJAY KUMAR MANDAL,Janata Dal  (United),NDA,AJEET SHARMA,Indian National Congress,534923,1108,536031,1064081.0,50.38,104868,Result Declared,46.0,male
5,3,69,Bihar,Eastern Region,27,Banka,2,2024-04-26,GIRIDHARI YADAV,Janata Dal  (United),NDA,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,505674,1004,506678,1014155.0,49.96,103844,Result Declared,63.0,male
5,3,70,Bihar,Eastern Region,28,Munger,4,2024-05-13,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),NDA,KUMARI ANITA,Rashtriya Janata Dal,547814,2332,550146,1139081.0,48.3,80870,Result Declared,70.0,male
5,3,71,Bihar,Eastern Region,29,Nalanda,7,2024-06-01,KAUSHALENDRA KUMAR,Janata Dal  (United),NDA,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),557054,2368,559422,1144383.0,48.88,169114,Result Declared,65.0,male
5,3,72,Bihar,Eastern Region,30,Patna Sahib,7,2024-06-01,RAVI SHANKAR PRASAD,Bharatiya Janata Party,NDA,ANSHUL AVIJIT,Indian National Congress,587212,1058,588270,1075496.0,54.7,153846,Result Declared,69.0,male
5,3,73,Bihar,Eastern Region,31,Patliputra,7,2024-06-01,MISHA BHARTI,Rashtriya Janata Dal,INDIA,RAM KRIPAL YADAV,Bharatiya Janata Party,612147,1136,613283,1230099.0,49.86,85174,Result Declared,47.0,female
5,3,74,Bihar,Eastern Region,32,Arrah,7,2024-06-01,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),INDIA,R. K. SINGH,Bharatiya Janata Party,526564,2818,529382,1096561.0,48.28,59808,Result Declared,56.0,male
5,3,75,Bihar,Eastern Region,33,Buxar,7,2024-06-01,SUDHAKAR SINGH,Rashtriya Janata Dal,INDIA,MITHILESH TIWARI,Bharatiya Janata Party,435062,3283,438345,1073759.0,40.82,30091,Result Declared,52.0,male
5,3,76,Bihar,Eastern Region,34,Sasaram,7,2024-06-01,MANOJ KUMAR,Indian National Congress,INDIA,SHIVESH KUMAR,Bharatiya Janata Party,509977,3027,513004,1097075.0,46.76,19157,Result Declared,42.0,male
5,3,77,Bihar,Eastern Region,35,Karakat,7,2024-06-01,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),INDIA,PAWAN SINGH,Independent,378922,1659,380581,1031618.0,36.89,105858,Result Declared,54.0,male
5,3,78,Bihar,Eastern Region,36,Jahanabad,7,2024-06-01,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,INDIA,CHANDESHWAR PRASAD,Janata Dal  (United),440352,2683,443035,925370.0,47.88,142591,Result Declared,65.0,male
5,3,79,Bihar,Eastern Region,37,Aurangabad,1,2024-04-19,ABHAY KUMAR SINHA,Rashtriya Janata Dal,INDIA,SUSHIL KUMAR SINGH,Bharatiya Janata Party,463845,1722,465567,945880.0,49.22,79111,Result Declared,53.0,male
5,3,80,Bihar,Eastern Region,38,Gaya,1,2024-04-19,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),NDA,KUMAR SARVJEET,Rashtriya Janata Dal,492732,2228,494960,963676.0,51.36,101812,Result Declared,78.0,male
5,3,81,Bihar,Eastern Region,39,Nawada,1,2024-04-19,VIVEK THAKUR,Bharatiya Janata Party,NDA,SHRAWAN KUMAR,Rashtriya Janata Dal,408537,2071,410608,869870.0,47.2,67670,Result Declared,54.0,male
5,3,82,Bihar,Eastern Region,40,Jamui,1,2024-04-19,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),NDA,ARCHANA KUMARI,Rashtriya Janata Dal,508179,867,509046,979233.0,51.98,112482,Result Declared,45.0,male
6,1,83,Chandigarh,Northern Region,1,Chandigarh,7,2024-06-01,MANISH TEWARI,Indian National Congress,INDIA,SANJAY TANDON,Bharatiya Janata Party,216350,307,216657,449275.0,48.22,2504,Result Declared,58.0,male
