party_id,party_name,alliance_name,alliance_id
269,Hamara Sahi Vikalp Party,Others,3
270,Haryana Jansena Party,Others,3
271,Himachal Janta Party,Others,3
272,Hindrashtra Sangh,Others,3
273,Hindu Samaj Party,Others,3
274,Hindustan Janta Party,Others,3
275,Hindustan Janta Party Secular,Others,3
276,Hindustan People's Party (Democratic),Others,3
277,Hindustan Samaj Party,Others,3
278,Hindustan Shakti Sena,Others,3
279,Hindustan Vikas Dal,Others,3
280,Hindustani Awam Morcha (Secular),NDA,1
281,Hindvi Swarajyay Dal,Others,3
282,Humanity for Peace Party,Others,3
283,Independent,Others,3
284,India Greens Party,Others,3
285,India Manus Party,Others,3
286,India Praja Bandhu Party,Others,3
287,Indian Believers Party (IBP),Others,3
288,Indian Labour Party (Ambedkar Phule),Others,3
289,Indian Movement Party,Others,3
290,Indian National Congress,INDIA,2
291,Indian National League,Others,3
292,Indian National Lok Dal,Others,3
293,Indian National Socialistic Action Forces,Others,3
294,Indian National Yuva Jana Party,Others,3
295,Indian Peoples Adhikar Party,Others,3
296,Indian Peoples Green Party,Others,3
297,Indian Praja Congress,Others,3
298,Indian Union Muslim League,INDIA,2
299,Indian Unity Centre,Others,3
300,Insaniyat Party,Others,3
301,Jaathia Chethi Vruthula Ikya Vedika Party,Others,3
302,Jagrook Janta Party,Others,3
303,Jai Bharat National Party,Others,3
304,Jai Hind Congress Party,Others,3
305,Jai Hind National Party,Others,3
306,Jai Hind Party,Others,3
307,Jai Hindustan Party,Others,3
308,Jai Maha Bharath Party,Others,3
309,Jai Prakash Janata Dal,Others,3
310,Jai Samta Party,Others,3
311,Jai Sewalal Bahujan Vikas Party,Others,3
312,Jai Swaraj Party,Others,3
313,Jaibhim Rao Bharat Party,Others,3
314,Jamat-E-Seratul Mustakim,Others,3
315,Jammu & Kashmir National Conference,INDIA,2
316,Jammu & Kashmir National Panthers Party (Bhim),Others,3
317,Jammu & Kashmir People Conference,Others,3
318,Jammu & Kashmir Peoples Democratic Party,Others,3
319,Jammu and Kashmir Apni Party,Others,3
320,Jammu and Kashmir Nationalist People's Front,Others,3
321,Jan Janwadi Party,Others,3
322,Jan Raajya Party,Others,3
323,Jan Sangh Party,Others,3
324,Jan Sewa Driver Party,Others,3
325,Jan Sewak Kranti Party,Others,3
326,Jan Shakti Dal,Others,3
327,Jan Shakti Ekta Party,Others,3
328,Jana Sahayaka Sakthi,Others,3
329,Jana Shankhaaraavam Party,Others,3
330,Janahitha Paksha,Others,3
331,Janasena Party,NDA,1
332,Janata Congress,Others,3
333,Janata Dal  (Secular),NDA,1
334,Janata Dal  (United),NDA,1
335,Janhit Kisan Party,Others,3
336,Janhit Sankalp Party,Others,3
337,Janlok Vikas Party,Others,3
338,Jannayak Janta Party,Others,3
339,Janseva Gondwana Party,Others,3
340,Janshakti Janta Dal,Others,3
341,Janshakti Samta Party,Others,3
342,Janta Darbar Party,Others,3
343,Janta Kranti Party,Others,3
344,Janta Kranti Party (Rashtravadi),Others,3
345,Janta Raj Vikas Party,Others,3
346,Janta Samajwadi Party (Vivek Raj),Others,3
347,Janta Samta Party,Others,3
348,Janta Shashan Party,Others,3
349,Jantantra Awaj Party,Others,3
350,Jatiya Jana Sena Party,Others,3
